English,Kokborok
I,ang
you,nwng
he,bo
she,bo
we,bwrwi
they,borok
are,ong
this,bwma
that,abo
here,bwkha
there,okha
who,sorw
what,mung
where,bwkhao
when,bobo
how,bwswk
not,ya
all,phrw
many,kaham
some,kajwk
few,sagwi
other,tongo
one,sa
two,nwi
three,tham
four,brwi
five,ba
big,kwthor
long,kwthwi
wide,kolom
thick,malwi
heavy,baksa
small,kwthi
short,twi
narrow,riti
thin,bamanjak
woman,bwrwi
man,bwsa
human,borok
child,khudu
wife,bwsai
husband,swi
mother,ma
father,pha
animal,moina
fish,ha
bird,tokhwi
dog,chuk
louse,thik
snake,jwbwi
worm,porong
tree,bolong
forest,kotor
stick,tangal
fruit,thwi
seed,biji
leaf,bildak
root,samuk
bark,bokhor
flower,bukung
grass,nolok
rope,riju
skin,kokma
meat,mwchang
blood,thokhwi
bone,sajung
fat,tha
egg,thai
horn,kusung
tail,lama
feather,mwkhwng
hair,khum
head,khakma
ear,khakchek
eye,moksok
nose,khusung
mouth,khuk
tooth,ha
tongue,muluk
fingernail,swrwng
foot,yakung
leg,yapa
knee,khakur
hand,yakma
wing,pakhla
belly,bwkhuk
guts,bwkhi
neck,khorok
back,jamkhak
breast,mwkhwk
heart,norok
liver,thimsin
drink,nung
eat,chak
bite,nakma
suck,chunuma
spit,thusumo
vomit,miklaimo
blow,phurw
breathe,thwi sumw
laugh,mwnsi
see,nai
hear,khina
know,sikhi
think,hammak
smell,mwna
fear,khi
sleep,thwi
live,thang
die,thwi
kill,swo
fight,hamjak
hunt,saka
hit,bwkhak
cut,klai
split,prak
stab,sok
scratch,khuchu
dig,chu
swim,hai
fly,por
walk,thang
come,phang
lie,thi
sit,chupwi
stand,thwngmwng
turn,kholwi
fall,khakla
give,rw
hold,rwhwi
squeeze,nup
rub,sui
wash,sui
wipe,swi
pull,tang
push,nwng
throw,ga
tie,kat
sew,chup
count,kwra
say,tai
sing,manwi
play,kholoi
float,bwlai
flow,swi
freeze,khathnai
